gid,x,y,z,yaw,velocity,change_flag,event_flag
32,44.3324,158.7393,-2.565,0.0,2.7777777777777777,0,4
191,-130.9609,161.1436,-1.3667,0.0,2.7777777777777777,0,4
486,-259.3468,356.4569,3.7385,0.0,0.2989722222222222,0,4
592,-144.5086,365.4223,2.5714,0.0,2.7777777777777777,0,4
757,41.8973,353.2388,0.7784,0.0,2.7777777777777777,0,4
1010,169.1495,164.4967,-2.024,0.0,2.7777777777777777,0,4
1059,117.7538,157.7869,-2.4578,0.0,2.7777777777777777,0,4
